claim_id,policy_id,customer_id,claim_date,claim_type,claim_amount,settlement_amount,status,fraud_flag,days_to_settle
1,7740,3944,2026-02-17,Accident,131148,121881.0,Settled,0,82.0
2,1100,256,2025-12-22,Natural Disaster,16393,16534.0,Settled,0,109.0
3,5839,3145,2025-05-13,Theft,30715,28512.0,Settled,0,76.0
4,3439,4295,2024-03-22,Health,206635,187566.0,Settled,0,37.0
5,191,2936,2026-01-05,Accident,109179,109445.0,Settled,0,88.0
6,5428,2745,2025-12-03,Theft,20946,20126.0,Settled,0,50.0
7,1086,3720,2024-03-29,Health,13908,13677.0,Settled,0,43.0
8,5066,400,2025-04-01,Accident,33376,34426.0,Settled,0,93.0
9,5594,2882,2026-05-03,Theft,46947,48168.0,Settled,0,20.0
10,9957,2699,2024-10-30,Natural Disaster,41304,42648.0,Settled,0,14.0
11,3239,15,2024-05-08,Natural Disaster,85257,74356.0,Settled,0,89.0
12,1900,3634,2025-07-09,Fire,15909,16432.0,Settled,0,25.0
13,2950,4967,2024-01-28,Natural Disaster,24420,24409.0,Settled,0,100.0
14,970,3811,2024-11-02,Health,89907,77540.0,Rejected,0,
15,6616,3577,2024-06-27,Health,20473,18948.0,Settled,0,87.0
16,3820,1808,2025-11-20,Health,9850,10250.0,Settled,0,27.0
17,9210,2848,2026-05-03,Natural Disaster,106473,98381.0,Settled,0,103.0
18,1638,4389,2025-05-10,Health,80356,83697.0,Settled,0,103.0
19,3276,2415,2025-10-09,Accident,21897,22618.0,Settled,0,110.0
20,4080,1610,2024-04-12,Accident,56035,55183.0,Settled,0,101.0
21,4126,969,2025-07-27,Theft,37679,33666.0,Settled,0,83.0
22,7693,3793,2026-02-02,Accident,77733,76564.0,Settled,0,18.0
23,8646,21,2024-02-26,Accident,138748,119609.0,Pending,0,
24,8130,4807,2024-07-04,Health,79507,73091.0,Pending,0,
25,9422,2726,2024-10-01,Accident,38070,33100.0,Settled,0,26.0
26,1530,3705,2026-04-17,Natural Disaster,65569,66583.0,Settled,0,45.0
27,7320,603,2025-05-07,Accident,133399,132836.0,Settled,0,84.0
28,4673,2869,2024-09-06,Theft,8238,7118.0,Settled,0,11.0
29,8930,3188,2024-02-08,Theft,26382,27673.0,Pending,0,
30,9982,259,2025-05-18,Health,127408,112274.0,Settled,0,49.0
31,1930,3392,2024-02-20,Fire,13107,11248.0,Settled,0,71.0
32,8016,3670,2024-05-28,Health,26860,24917.0,Settled,0,32.0
33,154,4779,2026-06-08,Theft,32648,30186.0,Settled,0,25.0
34,1968,3837,2024-05-11,Natural Disaster,19007,18453.0,Settled,1,53.0
35,9836,3588,2024-07-08,Health,142560,132352.0,Pending,0,
36,47,4574,2026-02-19,Accident,35042,30112.0,Rejected,0,
37,5860,3003,2024-11-21,Fire,147037,148588.0,Settled,0,117.0
38,8296,1065,2024-11-04,Natural Disaster,111039,105849.0,Settled,0,46.0
39,234,3252,2025-12-21,Natural Disaster,187905,185326.0,Settled,0,62.0
40,166,2104,2025-01-24,Fire,150055,129762.0,Settled,0,50.0
41,5493,2201,2025-03-23,Health,110252,107835.0,Settled,0,75.0
42,9401,4439,2024-08-23,Accident,19760,20261.0,Rejected,0,
43,7900,152,2025-02-16,Natural Disaster,203903,182352.0,Pending,0,
44,6892,4355,2025-01-06,Health,77185,73828.0,Settled,0,103.0
45,3957,2125,2025-03-30,Health,10926,11320.0,Rejected,1,
46,2519,2985,2025-12-20,Accident,16398,15661.0,Settled,0,43.0
47,8301,739,2025-05-26,Natural Disaster,61336,57588.0,Settled,0,4.0
48,9352,2460,2025-06-07,Accident,15129,15746.0,Settled,0,117.0
49,7066,4873,2025-02-27,Natural Disaster,161233,146935.0,Rejected,0,
50,2535,4100,2025-10-18,Accident,18765,16487.0,Rejected,0,
51,5582,4524,2024-01-15,Accident,81532,76268.0,Settled,0,11.0
52,5337,17,2025-11-19,Natural Disaster,86406,76941.0,Settled,0,113.0
53,7294,2488,2026-02-13,Fire,17587,15419.0,Pending,0,
54,4498,891,2025-01-29,Health,68082,64286.0,Settled,0,56.0
55,5984,3513,2025-11-16,Accident,172236,157755.0,Pending,0,
56,2543,1566,2026-05-05,Natural Disaster,40465,36695.0,Settled,0,63.0
57,8189,3322,2024-02-13,Natural Disaster,189102,173999.0,Pending,0,
58,3607,4414,2024-09-12,Health,196942,184780.0,Settled,0,83.0
59,5478,4175,2025-07-27,Health,27527,25370.0,Settled,0,116.0
60,9446,2563,2026-01-21,Fire,71587,63837.0,Settled,0,29.0
61,3532,2230,2025-06-13,Accident,14832,12989.0,Settled,0,15.0
62,7057,2554,2025-09-23,Theft,119463,110246.0,Settled,0,25.0
63,663,243,2025-07-06,Fire,263194,243283.0,Settled,0,90.0
64,3003,65,2025-09-08,Accident,230809,201454.0,Settled,0,70.0
65,9533,3268,2024-08-11,Accident,84044,75105.0,Settled,0,24.0
66,9838,4348,2024-10-02,Fire,18060,18676.0,Settled,0,46.0
67,2153,2473,2025-12-17,Health,25194,21895.0,Pending,0,
68,5434,854,2024-10-05,Theft,256263,221884.0,Pending,0,
69,9882,2885,2024-04-14,Health,7488,6910.0,Settled,0,84.0
70,7089,1557,2024-10-27,Theft,146861,148775.0,Settled,0,42.0
71,336,211,2024-10-17,Accident,73042,69982.0,Settled,0,52.0
72,9376,2266,2025-08-30,Health,127661,109054.0,Rejected,0,
73,6038,1131,2025-02-16,Natural Disaster,96441,86120.0,Settled,0,42.0
74,2781,1735,2026-02-08,Accident,52370,54643.0,Settled,0,96.0
75,1832,3333,2026-06-06,Theft,22649,21916.0,Rejected,0,
76,8980,4824,2025-09-07,Accident,138725,126142.0,Settled,0,62.0
77,9260,1630,2025-11-12,Natural Disaster,10591,9732.0,Settled,0,34.0
78,8717,3523,2024-10-15,Theft,68980,66160.0,Settled,0,40.0
79,453,974,2026-02-01,Accident,32842,29669.0,Settled,0,79.0
80,9712,2003,2025-07-01,Fire,17199,15063.0,Settled,0,18.0
81,2590,4904,2024-02-28,Health,78019,74571.0,Pending,0,
82,8897,4684,2025-10-20,Theft,328293,301858.0,Rejected,0,
83,3436,2397,2025-12-23,Health,15364,15380.0,Settled,0,57.0
84,5087,997,2026-01-12,Natural Disaster,23315,21542.0,Settled,0,50.0
85,6799,226,2025-11-30,Natural Disaster,91767,93954.0,Settled,0,65.0
86,7680,3891,2024-09-07,Accident,29149,30413.0,Rejected,0,
87,9989,2925,2026-02-09,Health,88227,80587.0,Settled,0,79.0
88,9579,1274,2025-09-10,Natural Disaster,37023,32611.0,Settled,0,105.0
89,8637,3632,2025-02-02,Accident,69360,60934.0,Settled,1,40.0
90,8394,3292,2025-04-03,Accident,110097,94934.0,Settled,0,38.0
91,6672,4918,2025-12-19,Health,92505,96671.0,Settled,0,64.0
92,5111,1914,2025-01-23,Accident,25047,23473.0,Settled,0,9.0
93,9973,481,2024-10-19,Theft,69125,68142.0,Settled,0,32.0
94,4662,2780,2024-08-18,Theft,4196,3843.0,Settled,0,23.0
95,6508,4113,2025-08-10,Accident,39129,35194.0,Pending,0,
96,1729,610,2025-10-22,Health,100738,96216.0,Settled,0,25.0
97,8645,319,2025-05-02,Natural Disaster,8100,7490.0,Settled,0,10.0
98,3110,2663,2024-10-15,Fire,65094,55715.0,Settled,0,93.0
99,532,2045,2024-06-27,Health,10581,9494.0,Settled,0,82.0
100,2419,618,2024-12-14,Health,38556,37148.0,Pending,0,
101,7752,1763,2025-02-04,Accident,32078,30020.0,Settled,0,100.0
102,3848,2295,2026-05-26,Natural Disaster,388684,351459.0,Settled,0,18.0
103,3911,589,2026-04-18,Accident,84810,74451.0,Rejected,0,
104,1502,557,2026-04-13,Health,71541,67542.0,Settled,0,14.0
105,6015,2029,2024-11-15,Accident,17793,18437.0,Rejected,0,
106,2560,1633,2026-04-24,Accident,68466,65077.0,Pending,0,
107,5683,630,2025-12-17,Accident,12139,10585.0,Rejected,0,
108,2515,2614,2025-04-25,Natural Disaster,29853,28043.0,Rejected,0,
109,5839,3145,2024-12-12,Natural Disaster,46502,42019.0,Settled,0,64.0
110,2492,3025,2026-06-16,Health,121542,124637.0,Settled,0,111.0
111,1975,3489,2024-09-24,Accident,115542,98857.0,Pending,0,
112,1089,4744,2024-01-12,Natural Disaster,35324,32177.0,Settled,0,118.0
113,1891,837,2026-02-01,Accident,6799,6783.0,Pending,0,
114,1628,3048,2025-04-29,Fire,34006,31850.0,Settled,0,57.0
115,5985,1352,2026-01-16,Theft,242483,240176.0,Settled,0,15.0
116,3674,217,2024-11-17,Accident,22397,20576.0,Pending,0,
117,887,4638,2024-08-06,Accident,53215,53923.0,Settled,0,78.0
118,7885,2037,2025-08-31,Health,6115,6213.0,Settled,0,42.0
119,9092,908,2025-12-02,Accident,11996,12218.0,Settled,0,105.0
120,5985,1352,2026-04-02,Theft,70879,73173.0,Settled,0,88.0
121,1610,4125,2024-08-31,Theft,257999,266134.0,Settled,0,35.0
122,3348,3770,2025-05-08,Accident,29793,27075.0,Settled,0,101.0
123,3186,1279,2025-10-03,Health,40244,36172.0,Pending,0,
124,3618,222,2025-07-07,Accident,2427,2525.0,Rejected,0,
125,283,4291,2024-06-03,Theft,14367,13266.0,Settled,0,81.0
126,9095,1144,2025-05-26,Accident,83008,87089.0,Settled,0,75.0
127,8689,1569,2025-12-12,Natural Disaster,77316,69315.0,Settled,0,100.0
128,783,1067,2024-10-12,Natural Disaster,109328,112435.0,Pending,0,
129,3518,2223,2025-08-02,Natural Disaster,98346,99743.0,Settled,0,91.0
130,6731,3084,2024-07-26,Theft,108728,98292.0,Settled,0,67.0
131,5634,4617,2025-05-29,Accident,125835,113613.0,Settled,0,105.0
132,4747,1811,2026-06-08,Fire,18554,19286.0,Settled,0,67.0
133,3305,4083,2024-10-05,Health,5344,5209.0,Settled,0,47.0
134,6765,2903,2025-05-10,Accident,20762,20777.0,Pending,0,
135,9399,2626,2025-09-06,Health,199139,170446.0,Settled,0,17.0
136,1129,170,2025-03-26,Natural Disaster,17839,18712.0,Settled,0,73.0
137,5401,4544,2024-06-19,Health,6446,5766.0,Settled,0,112.0
138,9400,1037,2024-10-27,Theft,251939,223273.0,Settled,0,92.0
139,6338,928,2026-03-30,Accident,83305,87231.0,Settled,0,95.0
140,8214,4340,2025-03-30,Accident,108924,93710.0,Settled,0,23.0
141,1278,1770,2025-07-16,Accident,35347,34967.0,Settled,0,61.0
142,2916,1020,2026-05-19,Health,23509,23940.0,Settled,0,54.0
143,8134,412,2024-12-03,Fire,94056,92695.0,Settled,0,114.0
144,2592,1061,2024-01-23,Accident,161344,145051.0,Settled,0,12.0
145,5179,1924,2026-01-22,Theft,13863,12183.0,Settled,0,31.0
146,589,21,2025-09-12,Fire,4589,4581.0,Settled,0,60.0
147,6944,4042,2024-04-10,Health,17623,16322.0,Settled,1,85.0
148,3981,125,2024-01-02,Natural Disaster,60531,62416.0,Pending,0,
149,3562,3449,2025-10-17,Theft,36607,32460.0,Settled,0,77.0
150,583,2430,2025-12-13,Accident,38388,33272.0,Settled,0,56.0
151,8224,2867,2025-12-15,Natural Disaster,65042,57213.0,Settled,0,64.0
152,3069,3278,2024-06-22,Theft,26136,23955.0,Settled,0,11.0
153,3941,44,2024-05-07,Accident,32296,31808.0,Settled,0,12.0
154,2404,4047,2025-04-23,Health,34637,35440.0,Settled,0,8.0
155,3485,2109,2025-09-25,Health,54950,50777.0,Settled,0,63.0
156,2343,4533,2024-02-21,Fire,258615,253156.0,Settled,0,47.0
157,9013,4124,2025-01-29,Accident,6511,5592.0,Settled,0,21.0
158,1194,4141,2024-11-14,Theft,22457,21908.0,Settled,0,81.0
159,6603,1643,2026-04-19,Accident,158481,148137.0,Rejected,0,
160,9804,3960,2024-09-14,Health,68357,66096.0,Settled,0,102.0
161,2168,4854,2024-05-02,Fire,53984,48515.0,Settled,0,3.0
162,6628,1960,2026-02-16,Theft,133209,125240.0,Settled,0,57.0
163,6619,1139,2025-01-22,Natural Disaster,29213,26596.0,Settled,0,79.0
164,8862,2772,2024-01-27,Health,1040964,1036029.0,Settled,0,40.0
165,3703,572,2024-07-05,Health,60486,56783.0,Pending,0,
166,4156,737,2025-08-11,Health,19984,18174.0,Settled,0,44.0
167,4104,3736,2024-01-04,Health,157264,156807.0,Settled,0,107.0
168,1119,2909,2024-08-09,Theft,198979,193855.0,Settled,0,21.0
169,5114,2546,2025-10-19,Natural Disaster,9342,8903.0,Settled,0,31.0
170,3326,3659,2024-11-06,Fire,14392,12517.0,Rejected,0,
171,957,2364,2024-10-25,Accident,11425,11296.0,Settled,0,54.0
172,332,2348,2025-06-10,Accident,183749,177342.0,Pending,0,
173,7249,2723,2024-03-22,Accident,109191,101966.0,Pending,0,
174,1957,3986,2025-02-16,Natural Disaster,59147,57546.0,Settled,0,111.0
175,1905,4656,2024-03-27,Health,216356,201439.0,Settled,0,83.0
176,2274,3585,2025-09-05,Health,109720,108084.0,Pending,0,
177,598,1866,2024-04-09,Theft,15250,15676.0,Pending,0,
178,9078,14,2025-03-13,Natural Disaster,319640,311177.0,Settled,0,37.0
179,2480,31,2026-05-30,Theft,237787,248285.0,Settled,0,65.0
180,5516,58,2024-03-06,Accident,33906,34862.0,Settled,0,25.0
181,2345,1918,2025-07-20,Health,23880,24853.0,Rejected,0,
182,4003,4956,2024-04-28,Accident,298255,301741.0,Settled,0,36.0
183,9136,3385,2025-04-16,Natural Disaster,8521,8245.0,Settled,0,32.0
184,59,4507,2024-07-09,Health,256070,224987.0,Settled,0,35.0
185,8804,1526,2025-06-15,Natural Disaster,42072,36096.0,Settled,0,44.0
186,5414,4231,2025-11-29,Accident,15636,13531.0,Settled,0,65.0
