customer_id,age,gender,location,occupation,income,credit_score,kyc_status
1,56,Male,Mumbai,Self-Employed,109731.0,706,Not Started
2,69,Male,Pune,Salaried,113558.0,761,Verified
3,46,Male,Delhi,Salaried,90176.0,729,Verified
4,32,Female,Mumbai,Business,84550.0,761,Pending
5,60,Male,Delhi,Farmer,116161.0,796,Verified
6,25,Female,Pune,Business,,654,Verified
7,38,Male,Pune,Salaried,110219.0,611,Verified
8,56,Male,Lucknow,Retired,267052.0,706,Verified
9,36,Female,Kolkata,Self-Employed,180747.0,681,Verified
10,40,Female,Hyderabad,Farmer,51302.0,776,Verified
11,28,Male,Bengaluru,Self-Employed,182451.0,618,Pending
12,28,Male,Bengaluru,Retired,191631.0,796,Verified
13,41,Male,Jaipur,Farmer,102658.0,825,Verified
14,70,Male,Chennai,Business,54333.0,710,Verified
15,53,Female,Jaipur,Salaried,133899.0,715,Pending
16,57,Male,Chennai,Retired,132637.0,644,Verified
17,41,Male,Delhi,Salaried,67983.0,663,Verified
18,20,Male,Chennai,Salaried,55785.0,675,Verified
19,39,Female,Kolkata,Self-Employed,126433.0,832,Verified
20,70,Female,Kolkata,Retired,115862.0,703,Verified
21,19,Male,Hyderabad,Salaried,103740.0,597,Verified
22,41,Female,Mumbai,Business,126748.0,731,Verified
23,61,Male,Bengaluru,Farmer,68757.0,780,Verified
24,47,Male,Hyderabad,Retired,102653.0,707,Verified
25,55,Female,Kolkata,Self-Employed,183505.0,834,Verified
26,19,Female,Mumbai,Retired,108014.0,776,Verified
27,38,Female,Jaipur,Self-Employed,,620,Verified
28,50,Female,Bengaluru,Farmer,100347.0,663,Verified
29,29,Male,Lucknow,Business,70116.0,729,Verified
30,39,Female,Bengaluru,Salaried,156417.0,568,Not Started
31,61,Male,Delhi,Retired,161345.0,738,Verified
32,42,Female,Ahmedabad,Self-Employed,49253.0,560,Verified
33,66,Male,Bengaluru,Farmer,210114.0,796,Verified
34,44,Female,Kolkata,Salaried,68370.0,787,Verified
35,59,Male,Delhi,Farmer,339595.0,752,Verified
36,45,Male,Pune,Business,129409.0,652,Verified
37,33,Female,Chennai,Salaried,63080.0,724,Verified
38,32,Male,Jaipur,Salaried,67158.0,666,Verified
39,64,Male,Lucknow,Salaried,164203.0,622,Verified
40,68,Male,Jaipur,Self-Employed,105369.0,681,Verified
41,61,Male,Pune,Salaried,125745.0,769,Verified
42,72,Male,Ahmedabad,Farmer,350694.0,713,Not Started
43,69,Male,Bengaluru,Self-Employed,87593.0,833,Not Started
44,74,Female,Hyderabad,Salaried,,775,Pending
