incident_id,industry,breach_type,records_exposed,loss_amount_cr,ransomware_flag
1,Healthcare,BEC,1000,2.49,0
2,Retail,DDoS,0,4.06,0
3,Manufacturing,Ransomware,1000,0.47,1
4,Healthcare,DDoS,10000,7.88,0
5,Retail,Data Breach,1000,3.45,0
6,IT/ITeS,Ransomware,1000,1.76,1
7,Retail,Ransomware,1000,0.18,1
8,IT/ITeS,Insider Threat,1000,16.15,0
9,Government,BEC,0,0.13,0
10,Retail,Ransomware,1000000,4.81,1
11,BFSI,BEC,100000,4.72,0
12,BFSI,BEC,0,7.31,0
13,Retail,Insider Threat,1000,15.01,0
14,IT/ITeS,Ransomware,10000,11.88,1
15,Retail,DDoS,1000000,28.74,0
16,Government,Data Breach,1000,5.55,0
17,BFSI,Ransomware,0,1.67,1
18,Manufacturing,Data Breach,10000,3.32,0
19,Manufacturing,Ransomware,1000,6.92,1
20,IT/ITeS,Insider Threat,10000,0.99,0
21,Manufacturing,Ransomware,0,11.01,1
22,Manufacturing,Data Breach,10000,8.79,0
23,Healthcare,BEC,1000,16.72,0
24,Retail,Data Breach,10000,11.07,0
25,IT/ITeS,Data Breach,0,4.27,0
26,Retail,BEC,0,1.34,0
27,Healthcare,Data Breach,1000,28.9,0
28,IT/ITeS,Ransomware,1000000,0.55,1
29,Manufacturing,BEC,10000,6.9,0
30,BFSI,Insider Threat,0,318.42,0
31,Retail,Ransomware,1000,5.03,1
32,BFSI,Ransomware,1000000,6.73,1
33,Healthcare,Data Breach,1000,2.17,0
34,Retail,Data Breach,1000,7.82,0
35,Retail,Data Breach,1000,6.56,0
36,BFSI,Data Breach,1000,4.73,0
37,Healthcare,BEC,1000,2.25,0
38,Manufacturing,Ransomware,1000000,8.97,1
39,Government,Ransomware,10000,2.0,1
40,BFSI,Ransomware,0,0.62,1
41,BFSI,Data Breach,0,37.71,0
42,Retail,Data Breach,0,11.21,0
43,BFSI,Ransomware,0,10.17,1
44,Manufacturing,Data Breach,10000,1.3,0
45,Retail,Ransomware,1000,15.65,1
46,Manufacturing,Data Breach,100000,2.31,0
47,Manufacturing,Insider Threat,0,0.45,0
48,Government,Insider Threat,10000,1.35,0
49,Manufacturing,Data Breach,1000,4.13,0
50,Manufacturing,BEC,1000,1.02,0
51,Manufacturing,Ransomware,0,1.79,1
52,BFSI,Insider Threat,0,0.37,0
53,BFSI,Ransomware,1000,7.3,1
54,Healthcare,DDoS,0,10.71,0
55,Government,Ransomware,100000,7.5,1
56,Healthcare,Ransomware,10000,4.01,1
57,Healthcare,BEC,1000000,6.73,0
58,Healthcare,Ransomware,10000,28.36,1
