indicator_id,claim_id,indicator_type,indicator_value,score,review_status
1,4874,High Claim Ratio,0,5.5,Under Review
2,14621,Repeat Claimant,1,60.1,Confirmed
3,18440,Rapid Settlement,1,24.8,Cleared
4,12039,Policy-Claim Gap,1,24.0,Flagged
5,6519,Repeat Claimant,0,49.8,Under Review
6,16898,Amount Rounding,1,67.4,Confirmed
7,112,Policy-Claim Gap,1,57.3,Flagged
8,19685,Repeat Claimant,1,3.3,Flagged
9,2018,Policy-Claim Gap,0,74.1,Flagged
10,13774,Amount Rounding,0,28.7,Under Review
11,14198,Rapid Settlement,1,81.7,Flagged
12,10992,High Claim Ratio,1,90.2,Under Review
13,19382,Policy-Claim Gap,0,58.0,Under Review
14,5743,Policy-Claim Gap,1,89.1,Confirmed
15,4088,Rapid Settlement,0,15.0,Flagged
16,8748,Policy-Claim Gap,1,97.9,Under Review
17,14795,Amount Rounding,0,64.1,Under Review
18,2004,High Claim Ratio,1,23.3,Flagged
19,5493,High Claim Ratio,1,69.8,Under Review
20,2895,Amount Rounding,1,7.3,Cleared
21,1888,Amount Rounding,0,30.6,Under Review
22,6974,High Claim Ratio,1,98.9,Confirmed
23,17503,Amount Rounding,1,88.8,Under Review
24,9640,High Claim Ratio,1,90.2,Under Review
25,15308,Repeat Claimant,0,29.3,Confirmed
26,2670,Rapid Settlement,1,16.5,Confirmed
27,12548,Amount Rounding,0,10.8,Flagged
28,6845,Amount Rounding,1,2.4,Cleared
29,1918,Amount Rounding,1,47.9,Flagged
30,16405,Amount Rounding,1,52.1,Flagged
31,8919,Rapid Settlement,1,68.6,Under Review
32,15707,High Claim Ratio,1,1.7,Flagged
33,19924,High Claim Ratio,1,5.9,Confirmed
34,15514,High Claim Ratio,1,48.8,Cleared
35,7228,High Claim Ratio,0,25.6,Confirmed
36,11118,Rapid Settlement,1,98.8,Flagged
37,13041,Amount Rounding,1,52.8,Flagged
38,13032,Policy-Claim Gap,1,34.4,Under Review
39,5262,Repeat Claimant,1,49.2,Flagged
40,13529,Rapid Settlement,1,20.6,Flagged
41,18483,Repeat Claimant,0,98.6,Under Review
42,12557,Repeat Claimant,1,67.0,Under Review
43,15084,Rapid Settlement,0,1.2,Flagged
44,12048,Amount Rounding,0,32.8,Under Review
45,8385,Amount Rounding,1,10.1,Flagged
46,4290,Repeat Claimant,0,15.5,Confirmed
47,6163,Rapid Settlement,1,76.3,Flagged
48,6702,Policy-Claim Gap,1,72.8,Flagged
49,19359,Repeat Claimant,1,45.9,Flagged
50,4911,Amount Rounding,1,29.1,Flagged
51,18638,Amount Rounding,1,25.9,Cleared
52,13597,Amount Rounding,1,76.8,Flagged
53,6814,High Claim Ratio,0,14.8,Flagged
54,17458,High Claim Ratio,1,64.2,Under Review
55,7464,Policy-Claim Gap,1,11.8,Flagged
56,3019,High Claim Ratio,1,98.9,Confirmed
57,18502,Amount Rounding,0,2.8,Flagged
58,8033,Policy-Claim Gap,1,57.1,Under Review
59,10384,High Claim Ratio,0,42.5,Under Review
60,10216,Rapid Settlement,1,72.9,Flagged
61,770,Rapid Settlement,0,71.2,Under Review
62,1845,Policy-Claim Gap,1,19.3,Cleared
63,11365,Rapid Settlement,1,65.1,Cleared
64,11481,Amount Rounding,1,8.8,Confirmed
65,12533,Policy-Claim Gap,1,14.9,Flagged
66,4791,High Claim Ratio,1,41.1,Cleared
67,10343,Amount Rounding,1,76.3,Cleared
68,8629,Amount Rounding,1,22.2,Under Review
69,3294,Rapid Settlement,1,24.5,Under Review
70,9449,Rapid Settlement,1,15.2,Flagged
71,8275,Repeat Claimant,1,52.1,Under Review
72,19374,High Claim Ratio,1,92.4,Under Review
73,14166,Repeat Claimant,1,39.2,Flagged
74,4021,Amount Rounding,0,96.3,Under Review
75,19566,Policy-Claim Gap,1,81.1,Confirmed
76,14895,Amount Rounding,1,40.0,Confirmed
77,11227,Policy-Claim Gap,1,40.9,Flagged
78,11858,Rapid Settlement,1,44.2,Flagged
79,5873,Rapid Settlement,1,87.3,Flagged
80,1456,High Claim Ratio,0,83.4,Flagged
81,4793,Repeat Claimant,1,7.1,Cleared
82,19237,Rapid Settlement,0,23.5,Under Review
83,8933,High Claim Ratio,0,51.2,Flagged
84,14519,Rapid Settlement,0,39.6,Under Review
85,11190,Rapid Settlement,1,33.1,Flagged
86,3217,Repeat Claimant,0,97.0,Flagged
87,17872,Rapid Settlement,1,32.6,Flagged
88,4317,Repeat Claimant,1,47.2,Confirmed
89,1523,Policy-Claim Gap,0,33.6,Under Review
90,9488,Amount Rounding,1,10.6,Under Review
91,13778,Rapid Settlement,1,19.4,Flagged
92,4792,High Claim Ratio,0,5.3,Confirmed
93,11423,Policy-Claim Gap,1,74.2,Flagged
94,5361,High Claim Ratio,0,58.7,Cleared
95,7746,Amount Rounding,1,21.0,Flagged
96,163,Policy-Claim Gap,1,57.4,Cleared
97,13976,Repeat Claimant,0,64.2,Flagged
98,2233,Repeat Claimant,1,54.2,Cleared
99,4030,Policy-Claim Gap,0,15.4,Under Review
100,18632,Rapid Settlement,0,56.1,Under Review
101,1178,Rapid Settlement,1,34.8,Flagged
102,16876,High Claim Ratio,1,88.3,Flagged
103,8761,Repeat Claimant,1,8.1,Under Review
104,4545,Policy-Claim Gap,1,75.2,Flagged
105,5961,Policy-Claim Gap,0,86.8,Flagged
106,12151,High Claim Ratio,1,61.0,Confirmed
