policy_id,customer_id,policy_type,premium,sum_assured,tenure_months,start_date,end_date,channel,product_name
1,4252,Motor,9209.0,27227997,43,2024-09-06,2028-03-19,Online,Pol-Motor
2,2149,Motor,6260.0,3334742,40,2025-06-09,2028-09-21,Agent,Pol-Motor
3,748,Motor,9596.0,7322625,30,2024-05-26,2026-11-12,Aggregator,Pol-Motor
4,500,Motor,14829.0,20843109,9,2023-12-06,2024-09-01,Agent,Pol-Motor
5,3357,Motor,5118.0,2348465,6,2024-08-30,2025-02-26,Agent,Pol-Motor
6,386,Motor,17036.0,4786683,25,2024-01-20,2026-02-08,Aggregator,Pol-Motor
7,4234,Health,4298.0,11724196,30,2024-04-27,2026-10-14,Aggregator,Pol-Health
8,4344,Motor,6033.0,1778508,26,2025-07-05,2027-08-24,Agent,Pol-Motor
9,1736,Property,5776.0,6630133,3,2024-03-29,2024-06-27,Agent,Pol-Property
10,2558,Motor,13478.0,4160153,22,2024-04-11,2026-01-31,Online,Pol-Motor
11,4823,Health,4217.0,2383195,42,2025-09-21,2029-03-04,Online,Pol-Health
12,1179,Crop,12479.0,15917179,45,2025-04-27,2029-01-06,Agent,Pol-Crop
13,880,Motor,6686.0,12318634,9,2025-02-19,2025-11-16,Aggregator,Pol-Motor
14,1506,Travel,7857.0,8718268,50,2025-08-31,2029-10-09,Bancassurance,Pol-Travel
15,1007,Health,13263.0,10188395,35,2023-01-10,2025-11-25,Aggregator,Pol-Health
16,3658,Motor,9329.0,3760636,7,2024-02-01,2024-08-29,Online,Pol-Motor
17,2306,Motor,13886.0,5655794,37,2023-12-18,2027-01-01,Bancassurance,Pol-Motor
18,273,Crop,12355.0,2573273,48,2023-08-10,2027-07-20,Agent,Pol-Crop
19,2896,Health,27167.0,10808035,9,2023-07-17,2024-04-12,Bancassurance,Pol-Health
20,3096,Motor,13051.0,2387814,27,2024-04-05,2026-06-24,Aggregator,Pol-Motor
21,2873,Travel,7797.0,3440511,28,2023-05-01,2025-08-18,Aggregator,Pol-Travel
22,1607,Property,7560.0,2146811,45,2023-07-10,2027-03-21,Online,Pol-Property
23,4691,Property,17463.0,6551284,44,2025-09-04,2029-04-16,Agent,Pol-Property
24,2448,Crop,8610.0,4268818,33,2025-04-29,2028-01-14,Aggregator,Pol-Crop
25,2852,Property,9547.0,7742799,56,2024-12-27,2029-08-03,Agent,Pol-Property
26,1325,Motor,13494.0,2966873,59,2023-08-16,2028-06-20,Aggregator,Pol-Motor
