date,region,rainfall_mm,max_temp,min_temp,cyclone_event,wind_speed_kmph,flood_index
2020-06-15,Coastal,11.6,40.3,33.099999999999994,0,14.8,0.89
2020-08-27,Mountain,5.4,34.8,24.4,0,27.2,0.58
2025-01-05,Inland,0.3,26.8,15.4,0,11.8,0.51
2021-07-11,Mountain,2.8,20.9,13.499999999999998,0,20.5,0.04
2023-08-14,Mountain,3.3,23.3,13.4,0,23.3,0.42
2024-02-15,Urban,1.6,28.9,21.5,0,37.1,0.8
2021-08-27,Inland,3.8,23.7,17.0,0,21.1,0.68
2020-06-03,Coastal,7.2,30.0,20.8,0,35.8,0.59
2021-11-03,Mountain,16.5,24.7,15.899999999999999,0,33.5,0.89
2025-04-10,Inland,0.4,33.2,25.1,0,25.5,0.27
2024-02-20,Inland,1.7,22.3,12.4,0,30.8,0.47
2024-02-06,Mountain,4.1,39.0,29.8,0,38.7,0.21
2022-07-09,Coastal,94.7,20.2,13.299999999999999,0,38.6,0.8
2024-07-16,Coastal,2.4,30.0,18.9,0,17.1,0.8
2024-03-17,Inland,12.9,33.7,25.6,0,29.6,0.62
2020-09-13,Urban,1.5,31.2,19.6,0,33.0,0.2
2022-04-02,Coastal,1.1,21.2,12.899999999999999,0,15.2,0.14
2020-05-15,Inland,7.0,34.6,25.900000000000002,0,8.2,0.26
2025-01-10,Inland,13.5,31.6,24.900000000000002,0,14.5,0.3
2024-02-17,Mountain,0.3,20.7,13.899999999999999,0,10.9,0.55
2021-05-21,Urban,3.8,27.2,20.7,0,31.8,0.6
2024-09-23,Mountain,3.7,28.7,16.799999999999997,0,33.3,0.58
2024-09-06,Inland,11.1,35.7,24.200000000000003,0,30.0,0.18
2021-06-11,Urban,10.7,24.5,18.1,0,37.1,0.17
2020-05-22,Mountain,16.2,40.8,32.8,0,8.1,0.35
2020-02-03,Mountain,14.3,20.6,8.600000000000001,0,27.5,0.54
2021-07-29,Inland,16.5,36.9,30.599999999999998,0,10.5,0.38
2021-03-26,Inland,13.5,41.0,30.4,0,20.8,0.93
2020-01-10,Urban,5.5,39.4,29.099999999999998,0,39.9,0.57
2020-12-22,Urban,1.4,21.6,14.700000000000001,0,14.6,0.37
2024-04-15,Mountain,5.0,26.0,17.5,0,24.0,0.03
2025-03-09,Mountain,2.5,21.0,12.7,0,25.0,0.57
2024-05-19,Inland,0.4,40.7,32.900000000000006,0,17.8,0.01
2024-12-13,Inland,18.3,25.2,15.399999999999999,0,9.7,0.77
2021-05-31,Urban,1.1,28.7,19.0,0,28.1,0.87
2022-03-19,Mountain,0.3,40.4,30.599999999999998,0,13.2,0.31
2023-08-30,Urban,2.3,35.1,24.8,0,12.9,0.75
2023-02-17,Inland,3.0,38.9,28.4,0,24.8,0.38
2020-01-27,Coastal,20.4,34.7,25.1,0,9.6,0.06
2024-04-22,Coastal,45.0,28.6,18.200000000000003,0,29.2,0.44
2022-01-07,Urban,1.0,20.4,9.399999999999999,0,33.3,0.09
2023-07-27,Urban,12.3,27.1,20.200000000000003,0,25.3,0.12
2021-08-22,Inland,27.3,26.7,15.5,0,27.1,0.39
2024-01-10,Mountain,1.7,37.1,29.6,0,31.3,0.93
2023-06-04,Urban,6.0,39.4,31.4,0,38.0,0.86
2022-07-14,Coastal,26.6,36.0,25.8,0,8.5,0.25
2024-01-11,Urban,0.3,26.1,18.1,0,38.4,0.55
2024-09-26,Coastal,1.8,39.7,30.200000000000003,0,25.8,0.41
2024-02-20,Urban,7.6,31.6,21.0,0,28.6,0.4
2021-01-08,Inland,2.9,20.8,11.8,0,7.5,0.1
2020-11-26,Inland,11.0,27.7,18.2,0,20.0,0.73
2021-06-26,Urban,10.8,23.4,15.399999999999999,0,6.8,0.72
2021-08-02,Mountain,0.9,28.6,21.900000000000002,0,19.6,0.01
2022-03-16,Inland,2.7,22.7,16.5,0,26.6,0.36
2020-06-01,Mountain,6.8,30.6,21.700000000000003,0,6.3,0.14
2024-07-08,Inland,0.5,31.3,21.200000000000003,0,19.6,0.49
2023-07-03,Inland,16.4,27.7,18.9,0,20.0,0.43
2024-06-23,Coastal,12.6,30.1,21.900000000000002,0,12.3,0.23
2023-10-23,Inland,1.4,34.0,24.2,0,6.4,0.68
2021-08-02,Coastal,2.7,32.4,22.9,0,31.3,0.24
2023-05-15,Mountain,2.8,22.1,14.600000000000001,0,27.5,0.31
2021-05-27,Urban,4.1,23.2,15.399999999999999,0,28.9,0.23
2023-02-12,Urban,3.1,32.8,22.099999999999998,0,5.4,0.11
2021-10-10,Urban,1.0,35.6,26.3,0,19.9,0.12
2024-10-18,Coastal,4.7,32.0,25.2,0,35.3,0.64
